"","35","40","45","50","55","60","65","70","75","80","85","90","95","true_100"
"mean.AD.women.cl.15.25",11.89,11.84,12.09,11.8,11.75,11.67,11.88,11.96,12.13,12.06,12.1,12.17,12.26,13.21
"mean.AD.men.cl.15.25",2.75,2.75,2.7,2.88,2.93,2.94,2.96,2.91,2.97,3.03,2.89,3.02,2.99,2.91
"mean.AD.women.cl.25.40",15.1,15.07,14.82,14.86,14.69,14.96,14.77,14.57,14.64,14.85,14.87,14.65,14.55,13.7
"mean.AD.men.cl.25.40",10.94,10.84,10.92,10.61,10.61,10.89,10.78,10.83,10.86,10.95,10.86,11.18,10.97,11.46
"mean.AD.women.cl.40.50",4.56,3.83,6.97,4.73,6.57,4.9,4.31,4.82,4.66,6.8,7.46,5.11,5.93,4.65
"mean.AD.men.cl.40.50",21.68,20.51,21.23,21.02,20.66,20.61,20.67,20.51,20.88,20.86,20.71,20.81,21.01,20.35
"med.AD.women.cl.15.25",11.57,11.7,12.07,11.44,11.57,11.53,11.55,11.78,11.91,11.86,12.21,12.15,11.99,13.06
"med.AD.men.cl.15.25",2.67,2.7,2.59,2.68,2.73,2.75,2.81,2.75,2.74,2.81,2.56,2.79,2.79,2.72
"med.AD.women.cl.25.40",15.23,15.2,14.98,15.12,14.91,15.19,15.21,15.01,15.19,15.2,15.32,15.11,14.92,14.57
"med.AD.men.cl.25.40",11.18,10.9,11.01,10.58,10.74,10.93,10.76,10.84,10.9,10.87,10.89,11.25,11,11.44
"med.AD.women.cl.40.50",4.56,3.83,6.88,5.99,6.57,3.4,4.62,4.82,4.75,7.12,7.46,5.32,5.93,4.35
"med.AD.men.cl.40.50",21.78,20.74,21.41,21.01,20.88,20.7,20.77,20.65,20.88,21.14,20.63,20.92,21.07,20.49
"sd.AD.women.cl.15.25",5.7,5.92,5.97,6.25,6.37,6.39,6.27,6.45,6.48,6.68,6.61,6.59,6.68,6.92
"sd.AD.men.cl.15.25",1.59,1.73,1.66,1.78,1.82,1.87,1.8,1.79,1.84,1.88,1.88,1.92,1.9,1.88
"sd.AD.women.cl.25.40",3.16,3.35,3.96,3.6,3.61,3.68,4.13,4.01,3.75,4.07,4.37,4.18,4.11,5.03
"sd.AD.men.cl.25.40",2.99,3.08,3.5,3.29,3.6,3.66,3.72,3.75,3.82,3.93,3.84,3.8,4.03,4.18
"sd.AD.women.cl.40.50",1.16,1.65,6.37,2.69,4.05,2.55,2.97,3.57,2.6,3.19,4.47,4.65,2.83,2.53
"sd.AD.men.cl.40.50",2.66,2.61,2.3,2.48,2.39,2.59,2.47,2.86,2.72,2.88,2.89,2.85,3.08,3.76
