"","seq.cov","lower.Q1","med","upper.Q3"
"1","35",2.61538461538462,2.85714285714286,3.21428571428571
"2","40",2.66666666666667,2.91666666666667,3.22222222222222
"3","45",2.71428571428571,3,3.33333333333333
"4","50",2.76470588235294,3.07417582417582,3.38461538461538
"5","55",2.82352941176471,3.1,3.4140866873065
"6","60",2.85714285714286,3.1875,3.52631578947368
"7","65",2.92076923076923,3.22902097902098,3.52380952380952
"8","70",2.9375,3.24675324675325,3.57894736842105
"9","75",2.97727272727273,3.27272727272727,3.63636363636364
"10","80",3.0310606060606,3.31818181818182,3.66666666666667
"11","85",3.0548048048048,3.35483870967742,3.67261904761905
"12","90",3.09817073170732,3.38888888888889,3.73768115942029
"13","95",3.12308673469388,3.44444444444444,3.82721139430285
"14","true_100",3.41666666666667,3.74074074074074,4.10874704491725
