"","35","40","45","50","55","60","65","70","75","80","85","90","95","true_100"
"M.15.25.F.15.25",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"F.15.25.M.15.25",0.2,0.2,0.175,0.182,0.182,0.167,0.167,0.158,0.156,0.136,0.143,0.143,0.14,0.139
"M.25.40.F.15.25",1,1,0.941,0.923,0.9,0.877,0.875,0.875,0.882,0.875,0.875,0.857,0.867,0.826
"M.40.50.F.15.25",0.2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.545,0.556,0.538,0.548,0.556,0.519
"F.15.25.M.25.40",0.5,0.5,0.55,0.556,0.571,0.6,0.588,0.6,0.6,0.611,0.609,0.6,0.589,0.556
"M.25.40.F.25.40",0,0,0,0,0.083,0.109,0.111,0.125,0.111,0.125,0.125,0.137,0.132,0.174
"F.25.40.M.25.40",0,0,0,0,0.25,0.303,0.286,0.333,0.333,0.333,0.333,0.333,0.333,0.28
"M.40.50.F.25.40",0,0.2,0.333,0.36,0.333,0.4,0.4,0.429,0.439,0.438,0.444,0.444,0.429,0.478
"F.15.25.M.40.50",0.045,0.143,0.141,0.154,0.172,0.167,0.191,0.2,0.2,0.222,0.2,0.222,0.224,0.278
"F.25.40.M.40.50",0,0.273,0.4,0.5,0.5,0.5,0.583,0.545,0.611,0.6,0.6,0.613,0.653,0.696
