"","35","40","45","50","55","60","65","70","75","80","85","90","95","true_100"
"mean.AD.women.cl.15.25",12.93,13.19,12.74,13.07,12.65,13.12,13.41,13.06,13.39,13.59,13.37,13.62,13.74,13.21
"mean.AD.men.cl.15.25",3,2.73,2.97,2.69,2.78,2.81,2.9,3,2.81,2.9,2.85,2.95,2.95,2.91
"mean.AD.women.cl.25.40",15.7,15.45,15.91,15.64,15.49,15.41,15.76,15.28,15.69,15.38,15.46,15.39,15.63,13.7
"mean.AD.men.cl.25.40",10.31,10.63,10.86,10.95,10.82,10.91,10.82,10.93,10.74,10.89,10.83,10.77,10.85,11.46
"mean.AD.women.cl.40.50",4.62,3.62,4.09,4.32,4.35,6.92,4.68,4.39,4.25,3.58,5.12,4.45,4.71,4.65
"mean.AD.men.cl.40.50",20.91,20.35,20.64,20.51,20.78,20.67,20.37,20.2,20.51,20.34,20.26,20.34,20.27,20.35
"med.AD.women.cl.15.25",13.1,12.98,12.57,12.7,12.54,12.76,13.28,12.92,13.26,13.47,13.19,13.21,13.43,13.06
"med.AD.men.cl.15.25",2.83,2.68,2.89,2.56,2.62,2.75,2.68,2.84,2.61,2.76,2.74,2.84,2.7,2.72
"med.AD.women.cl.25.40",15.8,15.52,16.12,15.75,15.77,15.72,15.93,15.39,15.87,15.54,15.71,15.75,15.81,14.57
"med.AD.men.cl.25.40",10.1,10.62,10.81,10.85,10.83,10.99,11.13,10.86,10.86,10.9,10.81,10.83,10.89,11.44
"med.AD.women.cl.40.50",4.46,3.37,3.85,4.16,4.35,6.47,4.76,3.12,3.71,3.07,5.19,3.51,4.38,4.35
"med.AD.men.cl.40.50",20.93,20.52,20.83,20.56,20.72,20.79,20.56,20.35,20.61,20.4,20.42,20.52,20.54,20.49
"sd.AD.women.cl.15.25",5.78,5.84,5.98,5.92,5.95,6.1,6.1,6.09,6.26,6.22,6.35,6.41,6.42,6.92
"sd.AD.men.cl.15.25",1.75,1.61,1.59,1.67,1.63,1.69,1.73,1.77,1.77,1.71,1.72,1.73,1.87,1.88
"sd.AD.women.cl.25.40",3.37,3.56,3.18,3.59,3.41,3.51,3.53,3.93,3.57,3.62,3.8,3.77,3.79,5.03
"sd.AD.men.cl.25.40",3.26,3.36,3.64,3.63,3.84,3.85,3.89,3.9,4.01,3.99,4,4.12,3.99,4.18
"sd.AD.women.cl.40.50",2.36,0.78,5.06,3.14,2.34,2.37,4.94,3.07,2.35,2.91,3.21,3.09,3.08,2.53
"sd.AD.men.cl.40.50",2.53,2.37,2.83,2.87,2.81,2.79,2.71,3.01,3.18,3.11,3.22,3.32,3.31,3.76
