"","seq.cov","lower.Q1","med","upper.Q3"
"1","35",2.85582010582011,3.18181818181818,3.61538461538462
"2","40",2.92857142857143,3.27777777777778,3.66666666666667
"3","45",3,3.28571428571429,3.69110576923077
"4","50",3,3.33333333333333,3.72727272727273
"5","55",3.05263157894737,3.35294117647059,3.75
"6","60",3.12445175438596,3.42857142857143,3.77309384164223
"7","65",3.15460030165912,3.46428571428571,3.84615384615385
"8","70",3.162771560237,3.48148148148148,3.85212418300654
"9","75",3.2,3.5,3.88230769230769
"10","80",3.20294117647059,3.51515151515152,3.91304347826087
"11","85",3.21621621621622,3.56521739130435,3.92
"12","90",3.21266233766233,3.53708791208792,3.92521367521368
"13","95",3.2,3.5400641025641,3.93732718894009
"14","true_100",3.41666666666667,3.74074074074074,4.10874704491725
