"","name","lower.Q1","med","upper.Q3"
"1","M.15.25.F.15.25",0.888888888888889,1,1
"2","F.15.25.M.15.25",0.0810810810810811,0.13903743315508,0.203892668178383
"3","M.25.40.F.15.25",0.761904761904762,0.826086956521739,0.878048780487805
"5","M.40.50.F.15.25",0.415229885057471,0.518518518518518,0.615384615384615
"8","F.15.25.M.25.40",0.470801364023871,0.556291390728477,0.636164274322169
"9","M.25.40.F.25.40",0.121951219512195,0.173913043478261,0.238095238095238
"10","F.25.40.M.25.40",0.181818181818182,0.28,0.4
"11","M.40.50.F.25.40",0.382352941176471,0.478260869565217,0.577352472089315
"14","F.15.25.M.40.50",0.194537658463833,0.277929155313351,0.378052008204857
"16","F.25.40.M.40.50",0.555555555555556,0.695652173913043,0.8
