"","35","40","45","50","55","60","65","70","75","80","85","90","95","true_100"
"M.15.25.F.15.25",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"F.15.25.M.15.25",0.273,0.278,0.273,0.25,0.25,0.238,0.2,0.217,0.2,0.2,0.185,0.179,0.174,0.139
"M.25.40.F.15.25",1,0.938,0.857,0.875,0.875,0.857,0.868,0.857,0.857,0.857,0.871,0.857,0.87,0.826
"M.40.50.F.15.25",0.388,0.5,0.5,0.5,0.5,0.5,0.5,0.556,0.545,0.556,0.571,0.571,0.584,0.519
"F.15.25.M.25.40",0.481,0.5,0.5,0.515,0.526,0.533,0.559,0.571,0.571,0.583,0.6,0.594,0.598,0.556
"M.25.40.F.25.40",0,0,0.053,0.1,0.111,0.136,0.125,0.13,0.143,0.143,0.125,0.143,0.125,0.174
"F.25.40.M.25.40",0,0,0.143,0.25,0.25,0.333,0.333,0.333,0.333,0.351,0.333,0.389,0.379,0.28
"M.40.50.F.25.40",0,0.2,0.333,0.385,0.429,0.4,0.429,0.429,0.429,0.429,0.429,0.421,0.4,0.478
"F.15.25.M.40.50",0.091,0.118,0.138,0.154,0.167,0.167,0.176,0.167,0.19,0.189,0.188,0.2,0.2,0.278
"F.25.40.M.40.50",0,0.25,0.369,0.5,0.5,0.5,0.6,0.5,0.556,0.556,0.6,0.571,0.575,0.696
