"","35","40","45","50","55","60","65","70","75","80","85","90","95","true_100"
"mean.AD.women.cl.15.25",12,12.35,12.38,12.44,12.54,12.62,12.84,12.7,12.87,12.8,12.88,13.06,13.01,13.21
"mean.AD.men.cl.15.25",2.79,2.88,2.91,2.82,2.86,2.87,2.8,3.03,2.93,3.05,2.94,2.9,2.96,2.91
"mean.AD.women.cl.25.40",15.51,15.2,14.83,15.37,15.22,15.1,15.3,14.93,15.2,15.05,15.21,14.96,15.07,13.7
"mean.AD.men.cl.25.40",10.81,10.71,10.6,10.8,10.69,10.94,10.71,10.94,10.92,10.69,10.9,10.65,11.01,11.46
"mean.AD.women.cl.40.50",4.74,7.27,5.01,4.28,5.21,3.68,4.51,3.04,4.56,4.44,4.01,4.94,5.28,4.65
"mean.AD.men.cl.40.50",21.36,21.16,20.85,20.61,20.76,20.52,20.34,20.89,20.74,20.52,20.3,20.73,20.58,20.35
"med.AD.women.cl.15.25",11.88,12.13,12.17,11.94,12.43,12.49,12.59,12.44,12.53,12.69,12.79,12.94,13.01,13.06
"med.AD.men.cl.15.25",2.68,2.74,2.7,2.73,2.72,2.75,2.62,2.83,2.78,2.91,2.77,2.67,2.75,2.72
"med.AD.women.cl.25.40",15.54,15.2,15.17,15.49,15.45,15.32,15.58,15.29,15.57,15.48,15.65,15.36,15.43,14.57
"med.AD.men.cl.25.40",10.78,10.85,10.59,10.83,10.72,11.09,10.69,10.94,10.91,10.74,10.8,10.75,10.95,11.44
"med.AD.women.cl.40.50",4.96,7.68,5.58,4.06,5.21,3.68,4.3,2.5,4.56,4.39,4.17,5.03,5.49,4.35
"med.AD.men.cl.40.50",21.58,21.19,20.9,20.98,20.78,20.67,20.49,20.9,20.9,20.62,20.5,20.92,20.78,20.49
"sd.AD.women.cl.15.25",5.87,6.16,5.97,6.33,6.22,6.3,6.35,6.32,6.4,6.4,6.3,6.42,6.5,6.92
"sd.AD.men.cl.15.25",1.64,1.64,1.75,1.72,1.73,1.76,1.78,1.81,1.82,1.85,1.89,1.93,1.9,1.88
"sd.AD.women.cl.25.40",3.38,3.78,3.49,3.58,3.94,3.68,3.93,4.12,3.98,4.06,4.03,4.37,4.23,5.03
"sd.AD.men.cl.25.40",3.37,3.55,3.6,3.8,3.72,3.92,3.94,3.95,4.03,4.01,4.06,4.05,4.09,4.18
"sd.AD.women.cl.40.50",4.07,3.84,2.55,4.09,2.53,2.36,2.56,2.31,2.25,1.18,2.13,2.94,2.47,2.53
"sd.AD.men.cl.40.50",2.29,2.88,2.48,2.67,2.74,2.81,2.96,2.9,2.96,3.11,3.17,3.14,3.19,3.76
