"","seq.cov","lower.Q1","med","upper.Q3"
"1","35",2.78493788819876,3.05882352941176,3.42857142857143
"2","40",2.8125,3.08333333333333,3.46153846153846
"3","45",2.875,3.17156862745098,3.52225672877847
"4","50",2.88888888888889,3.22222222222222,3.5625
"5","55",2.90909090909091,3.23809523809524,3.63636363636364
"6","60",2.94281045751634,3.29787234042553,3.65108695652174
"7","65",3,3.29864864864865,3.63468013468014
"8","70",3,3.35,3.72
"9","75",3.05714285714286,3.37321428571429,3.71540178571428
"10","80",3.09677419354839,3.38585607940446,3.7658371040724
"11","85",3.11111111111111,3.42857142857143,3.77777777777778
"12","90",3.14285714285714,3.45161290322581,3.82758620689655
"13","95",3.19878048780488,3.48749218261413,3.85046296296296
"14","true_100",3.41666666666667,3.74074074074074,4.10874704491725
