"","35","40","45","50","55","60","65","70","75","80","85","90","95","true_100"
"M.15.25.F.15.25",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"F.15.25.M.15.25",0.106,0.1,0.143,0.133,0.128,0.13,0.125,0.133,0.14,0.14,0.145,0.136,0.14,0.139
"M.25.40.F.15.25",1,1,0.958,0.947,0.947,0.929,0.933,0.929,0.92,0.922,0.922,0.926,0.913,0.826
"M.40.50.F.15.25",0.7,0.725,0.706,0.714,0.7,0.706,0.708,0.692,0.706,0.708,0.708,0.7,0.697,0.519
"F.15.25.M.25.40",0.568,0.566,0.556,0.556,0.567,0.543,0.57,0.569,0.562,0.562,0.562,0.57,0.562,0.556
"M.25.40.F.25.40",0,0,0,0.048,0.05,0.07,0.065,0.071,0.08,0.077,0.077,0.074,0.085,0.174
"F.25.40.M.25.40",0,0,0,0.167,0.2,0.25,0.25,0.273,0.286,0.269,0.273,0.273,0.286,0.28
"M.40.50.F.25.40",0.2,0.25,0.267,0.286,0.286,0.286,0.286,0.3,0.286,0.286,0.286,0.3,0.3,0.478
"F.15.25.M.40.50",0.25,0.269,0.267,0.27,0.267,0.289,0.276,0.273,0.27,0.273,0.278,0.271,0.28,0.278
"F.25.40.M.40.50",0.5,0.563,0.667,0.667,0.7,0.667,0.677,0.667,0.667,0.68,0.7,0.696,0.695,0.696
