"","35","40","45","50","55","60","65","70","75","80","85","90","95","true_100"
"mean.AD.women.cl.15.25",13.09,13.43,12.75,13.31,13.05,13.16,13.27,12.97,13.28,13.18,13.01,13.05,13.39,13.21
"mean.AD.men.cl.15.25",2.73,2.79,2.98,2.76,2.83,2.82,2.91,2.79,2.93,2.91,2.85,2.88,2.93,2.91
"mean.AD.women.cl.25.40",14.22,14.19,14.22,14.18,14.04,13.88,13.99,13.61,13.79,13.79,13.62,13.83,13.92,13.7
"mean.AD.men.cl.25.40",11.54,11.48,11.45,11.47,11.37,11.57,11.45,11.39,11.54,11.35,11.41,11.34,11.38,11.46
"mean.AD.women.cl.40.50",4.29,3.76,4.92,4.86,5.52,4.24,5.28,3.74,5.24,6.22,4.61,4.32,5.32,4.65
"mean.AD.men.cl.40.50",20.36,20.3,20.19,20.39,20.25,20.18,20.37,20.24,20.25,20.33,20.26,20.32,20.21,20.35
"med.AD.women.cl.15.25",13.03,13.05,12.9,13.27,12.81,13.28,13.36,12.67,12.94,12.98,12.87,12.97,13.25,13.06
"med.AD.men.cl.15.25",2.66,2.68,2.88,2.71,2.64,2.66,2.67,2.65,2.7,2.67,2.68,2.62,2.72,2.72
"med.AD.women.cl.25.40",14.26,14.57,14.48,14.45,14.38,14.29,14.59,14.25,14.14,14.55,14.2,14.48,14.58,14.57
"med.AD.men.cl.25.40",11.56,11.41,11.62,11.45,11.34,11.49,11.39,11.43,11.5,11.43,11.38,11.33,11.27,11.44
"med.AD.women.cl.40.50",4.29,3.24,4.92,4.83,5.52,4.24,5.28,3.51,5.24,6.22,4.61,4.31,5.52,4.35
"med.AD.men.cl.40.50",20.34,20.47,20.35,20.41,20.41,20.34,20.49,20.41,20.3,20.41,20.37,20.54,20.3,20.49
"sd.AD.women.cl.15.25",6.43,6.5,6.57,6.62,6.56,6.48,6.76,6.62,6.84,6.9,6.84,6.79,6.85,6.92
"sd.AD.men.cl.15.25",1.74,1.76,1.69,1.71,1.68,1.73,1.76,1.81,1.83,1.86,1.85,1.87,1.82,1.88
"sd.AD.women.cl.25.40",3.89,4.36,3.89,4.05,4.3,4.5,4.45,4.47,4.58,4.88,4.79,4.87,4.95,5.03
"sd.AD.men.cl.25.40",3.47,3.74,3.8,3.76,4.04,3.86,3.95,4.02,4.06,4.08,4.09,4.12,4.18,4.18
"sd.AD.women.cl.40.50",2.33,3.88,3.75,4.04,1.83,2.96,3.29,2.79,2.88,2.52,2.5,2.97,2.95,2.53
"sd.AD.men.cl.40.50",2.96,3.06,3.31,3.16,3.4,3.45,3.5,3.45,3.57,3.63,3.7,3.68,3.75,3.76
