"","seq.cov","lower.Q1","med","upper.Q3"
"1","35",2.70588235294118,3,3.30576923076923
"2","40",2.79096889952153,3.05263157894737,3.41666666666667
"3","45",2.85714285714286,3.16666666666667,3.5
"4","50",2.93333333333333,3.23076923076923,3.56
"5","55",2.96428571428571,3.29289215686275,3.62068965517241
"6","60",3.05971479500891,3.37931034482759,3.71714285714286
"7","65",3.11190476190476,3.42206477732794,3.73333333333333
"8","70",3.16139534883721,3.44827586206897,3.82807881773399
"9","75",3.2,3.52173913043478,3.875
"10","80",3.26400560224089,3.55409356725146,3.92076923076923
"11","85",3.30820707070707,3.6,3.97368421052632
"12","90",3.33333333333333,3.64785373608903,4.02857142857143
"13","95",3.37209302325581,3.70782520325203,4.08791560102302
"14","true_100",3.41666666666667,3.74074074074074,4.10874704491725
