"","cov.35","cov.40","cov.45","cov.50","cov.55","cov.60","cov.65","cov.70","cov.75","cov.80","cov.85","cov.90","cov.95"
"mcar_mar_a_mean.M.15.25",0.448,0.589,0.799,0.724,0.05,0.501,0.548,0.975,0.823,0.041,0.325,0.144,0.796
"mcar_mar_a_mean.F.15.25",0.064,0,0,0,0,0,0,0,0,0,0,0,0
"mcar_mar_a_mean.M.25.40",0.013,0.011,0.007,0,0,0,0,0,0,0,0,0.001,0
"mcar_mar_a_mean.F.25.40",0.214,0.567,0.83,0.09,0.012,0.011,0.01,0.042,0,0.001,0,0,0
"mcar_mar_a_mean.M.40.50",0.388,0.128,0.129,0.04,0.924,0.687,0.583,0.492,0.002,0.003,0.029,0.007,0
"mcar_mar_a_mean.F.40.50",0.5,0.75,0.5,0.156,0.201,1,0.313,0.469,0.584,0.933,0.59,0.181,0.813
"mcar_mar_a_med.M.15.25",0.413,0.715,0.479,0.72,0.158,0.908,0.828,0.62,0.767,0.086,0.599,0.281,0.704
"mcar_mar_a_med.F.15.25",0.021,0,0,0,0,0,0,0,0,0,0,0,0
"mcar_mar_a_med.M.25.40",0.008,0.034,0.005,0,0,0,0,0,0,0,0,0.006,0.001
"mcar_mar_a_med.F.25.40",0.291,0.989,0.532,0.173,0.031,0.048,0.063,0.083,0,0.006,0.002,0.012,0.029
"mcar_mar_a_med.M.40.50",0.524,0.075,0.162,0.201,0.937,0.638,0.974,0.635,0.045,0.005,0.073,0.031,0.001
"mcar_mar_a_med.F.40.50",0.5,0.75,0.5,0.156,0.361,0.834,0.563,0.208,0.201,0.554,0.787,0.181,1
"mcar_mar_a_sd.M.15.25",0.924,0.984,0.612,0.703,0.158,0.542,0.998,0.285,0.765,0.667,0.019,0.136,0.541
"mcar_mar_a_sd.F.15.25",0.005,0,0,0.016,0.037,0.165,0,0.055,0,0.001,0.001,0,0.001
"mcar_mar_a_sd.M.25.40",0,0.06,0.213,0.011,0,0.012,0.002,0.001,0,0.008,0,0,0.003
"mcar_mar_a_sd.F.25.40",0.603,0.687,0.476,0.133,0.326,0.08,0.358,0.156,0.001,0.005,0.002,0,0
"mcar_mar_a_sd.M.40.50",0.11,0.001,0,0,0,0,0,0,0,0,0,0,0
"mcar_mar_a_sd.F.40.50",1,1,0.5,1,1,0.25,0.5,1,0.25,0.875,0.25,0.75,0.25
"mcar_mar_b_mean.M.15.25",0.048,0.898,0.588,0.863,0.653,0.315,0.912,0.214,0.55,0.373,0.172,0.088,0.899
"mcar_mar_b_mean.F.15.25",0.908,0.15,0.464,0.691,0.136,0.208,0.587,0.425,0.117,0.007,0.028,0.001,0.013
"mcar_mar_b_mean.M.25.40",0,0,0,0.001,0.001,0,0,0,0,0,0,0,0
"mcar_mar_b_mean.F.25.40",0.001,0.016,0.006,0,0,0,0,0,0,0,0,0,0
"mcar_mar_b_mean.M.40.50",0.428,0.896,0.887,0.401,0.251,0.578,0.738,0.367,0.534,0.795,0.716,0.32,0.955
"mcar_mar_b_mean.F.40.50",0.5,0.5,0.789,0.219,1,0.281,0.812,0.529,0.25,0.035,0.25,0.77,0.77
"mcar_mar_b_med.M.15.25",0.031,0.866,0.867,0.82,0.756,0.13,0.583,0.065,0.82,0.117,0.09,0.008,0.737
"mcar_mar_b_med.F.15.25",0.967,0.578,0.292,0.226,0.23,0.156,0.391,0.825,0.447,0.029,0.136,0.011,0.191
"mcar_mar_b_med.M.25.40",0,0,0,0.001,0,0,0,0,0,0,0,0,0
"mcar_mar_b_med.F.25.40",0.002,0.061,0.022,0,0,0,0,0,0,0,0,0,0
"mcar_mar_b_med.M.40.50",0.744,0.971,0.954,0.636,0.851,0.934,0.324,0.181,0.661,0.711,0.97,0.548,0.925
"mcar_mar_b_med.F.40.50",0.5,1,0.789,0.094,1,0.59,1,0.402,0.125,0.022,0.461,1,0.846
"mcar_mar_b_sd.M.15.25",0.409,1,0.396,0.683,0.352,0.528,0.949,0.907,0.416,0.04,0.263,0.037,0.446
"mcar_mar_b_sd.F.15.25",0.014,0,0,0,0,0,0,0,0,0,0,0,0
"mcar_mar_b_sd.M.25.40",0.078,0.003,0.077,0.957,0.019,0.229,0.177,0.018,0.133,0.078,0.098,0.333,0.001
"mcar_mar_b_sd.F.25.40",0.641,0.185,0.053,0.018,0.225,0,0,0.014,0,0,0,0,0
"mcar_mar_b_sd.M.40.50",0.422,0.003,0.01,0.034,0,0.009,0,0,0.001,0,0,0.002,0
"mcar_mar_b_sd.F.40.50",1,0.5,1,0.312,0.5,0.438,0.5,0.125,0.875,0.375,0.875,0.188,0.813
"mcar_mar_c_mean.M.15.25",0.905,0.088,0.379,0.726,0.33,0.826,0.209,0.763,0.83,0.286,0.051,0.607,0.677
"mcar_mar_c_mean.F.15.25",0.007,0,0.023,0.001,0.071,0.002,0,0.019,0.01,0.028,0.108,0.325,0.111
"mcar_mar_c_mean.M.25.40",0.077,0,0,0,0.001,0,0,0,0,0,0,0,0
"mcar_mar_c_mean.F.25.40",0.001,0.007,0.133,0.003,0,0,0,0,0,0,0,0,0
"mcar_mar_c_mean.M.40.50",0.022,0.441,0.012,0.803,0.444,0.796,0.515,0.096,0.009,0.597,0.434,0.005,0.015
"mcar_mar_c_mean.F.40.50",0.062,0.75,0.75,0.875,0.834,0.75,0.812,0.402,0.812,0.906,1,0.266,1
"mcar_mar_c_med.M.15.25",0.714,0.111,0.267,0.856,0.341,0.763,0.369,0.984,0.833,0.32,0.106,0.893,0.274
"mcar_mar_c_med.F.15.25",0.006,0.002,0.019,0,0.105,0.009,0,0.057,0.031,0.08,0.057,0.504,0.198
"mcar_mar_c_med.M.25.40",0.121,0.001,0.001,0,0,0,0,0,0,0,0,0,0
"mcar_mar_c_med.F.25.40",0.001,0.059,0.12,0.015,0,0.001,0,0,0,0,0,0,0
"mcar_mar_c_med.M.40.50",0.026,0.393,0.034,0.635,0.898,0.888,0.534,0.286,0.041,0.623,0.489,0.017,0.024
"mcar_mar_c_med.F.40.50",0.062,0.75,0.5,1,1,0.75,1,0.529,0.584,0.906,0.944,0.197,0.554
"mcar_mar_c_sd.M.15.25",0.07,0.161,0.565,0.861,0.468,0.601,0.618,0.102,0.392,0.067,0.205,0.123,0.803
"mcar_mar_c_sd.F.15.25",0.115,0.041,0,0.023,0,0.024,0,0,0,0,0,0,0
"mcar_mar_c_sd.M.25.40",0.369,0.341,0.286,0.551,0.001,0.538,0.728,0.026,0.082,0.062,0.251,0.27,0.078
"mcar_mar_c_sd.F.25.40",0.712,0.51,0.18,0.287,0.383,0.001,0.022,0.019,0.002,0,0,0.01,0
"mcar_mar_c_sd.M.40.50",0.106,0.177,0,0.042,0,0.001,0.004,0,0,0,0,0,0
"mcar_mar_c_sd.F.40.50",0.5,1,1,0.75,0.25,0.25,0.812,0.438,0.25,0.059,0.438,0.834,1
