"","cov.35","cov.40","cov.45","cov.50","cov.55","cov.60","cov.65","cov.70","cov.75","cov.80","cov.85","cov.90","cov.95"
"mcar_mar_a_prop.M.15.25.F.15.25",0.689,0.011,0.771,0.948,0.33,0.118,0.002,0.06,0.016,0,0,0,0
"mcar_mar_a_prop.F.15.25.M.15.25",0,0,0,0,0,0,0,0,0,0,0,0,0
"mcar_mar_a_prop.M.25.40.F.15.25",0,0,0,0,0,0,0,0,0,0,0,0,0
"mcar_mar_a_prop.F.15.25.M.25.40",0,0,0,0,0,0,0,0,0,0,0,0,0
"mcar_mar_a_prop.M.25.40.F.25.40",0.005,0,0,0,0,0,0,0,0,0,0,0,0
"mcar_mar_a_prop.F.25.40.M.25.40",0.47,0.442,0.837,0.223,0.18,0.011,0.007,0.005,0,0,0,0,0
"mcar_mar_a_prop.M.40.50.F.15.25",0,0,0,0,0,0,0,0,0,0,0,0,0.003
"mcar_mar_a_prop.F.15.25.M.40.50",0,0,0,0,0,0,0,0,0,0,0,0,0
"mcar_mar_a_prop.M.40.50.F.25.40",0.848,0.084,0.002,0.228,0,0,0,0,0,0,0,0,0.024
"mcar_mar_a_prop.F.25.40.M.40.50",0,0,0,0,0,0,0,0,0,0,0,0,0
"mcar_mar_b_prop.M.15.25.F.15.25",0.706,0.616,0,0,0.018,0,0,0,0,0,0,0,0
"mcar_mar_b_prop.F.15.25.M.15.25",0,0,0,0,0,0,0,0,0.053,0.164,0.403,0.175,0.342
"mcar_mar_b_prop.M.25.40.F.15.25",0,0,0,0,0,0,0,0,0,0,0,0,0
"mcar_mar_b_prop.F.15.25.M.25.40",0,0.002,0.802,0.734,0.615,0,0.001,0,0,0,0,0,0
"mcar_mar_b_prop.M.25.40.F.25.40",0,0,0,0,0,0,0,0,0,0,0,0,0
"mcar_mar_b_prop.F.25.40.M.25.40",0.48,0.338,0.277,0.811,0.003,0.004,0.015,0.001,0,0.001,0,0,0
"mcar_mar_b_prop.M.40.50.F.15.25",0,0,0,0,0,0,0,0,0,0,0,0,0
"mcar_mar_b_prop.F.15.25.M.40.50",0,0,0,0,0,0,0,0,0,0,0,0,0
"mcar_mar_b_prop.M.40.50.F.25.40",0.029,0.002,0,0,0.002,0,0,0,0,0,0,0,0
"mcar_mar_b_prop.F.25.40.M.40.50",0,0,0,0,0,0,0,0,0,0,0,0,0
"mcar_mar_c_prop.M.15.25.F.15.25",0.015,0.224,0.379,0.365,0.129,0.008,0,0.047,0,0,0,0,0
"mcar_mar_c_prop.F.15.25.M.15.25",0,0,0,0,0,0,0,0,0,0,0,0,0
"mcar_mar_c_prop.M.25.40.F.15.25",0,0,0,0,0,0,0,0,0,0,0,0,0
"mcar_mar_c_prop.F.15.25.M.25.40",0,0,0,0.002,0.001,0.171,0.732,0.32,0.059,0,0,0,0
"mcar_mar_c_prop.M.25.40.F.25.40",0,0,0,0,0,0,0,0,0,0,0,0,0
"mcar_mar_c_prop.F.25.40.M.25.40",0.717,0.004,0.002,0.003,0.003,0,0.001,0,0,0,0,0,0
"mcar_mar_c_prop.M.40.50.F.15.25",0,0,0,0,0,0,0,0,0,0,0,0,0
"mcar_mar_c_prop.F.15.25.M.40.50",0,0,0,0,0,0,0,0,0,0,0,0,0
"mcar_mar_c_prop.M.40.50.F.25.40",0.084,0.035,0,0,0,0,0,0,0,0,0,0,0
"mcar_mar_c_prop.F.25.40.M.40.50",0,0,0,0,0,0,0,0,0,0,0,0,0
